25.2519 	EXP 	TextStim: autoDraw = None
25.2519 	EXP 	TextStim: autoDraw = None
25.2519 	EXP 	ImageStim: autoDraw = None
25.6356 	DATA 	Keypress: a
25.6522 	EXP 	TextStim: autoDraw = None
25.6522 	EXP 	TextStim: autoDraw = None
25.6522 	EXP 	ImageStim: autoDraw = None
25.6522 	EXP 	Set text_27 text=
25.6522 	EXP 	TextStim: autoDraw = None
25.6522 	EXP 	TextStim: autoDraw = None
25.6522 	EXP 	TextStim: autoDraw = None
26.6366 	EXP 	New trial (rep=0, index=8): {u'StimuliImages': u'Joy.jpg', u'CorrAns1': u'a'}
26.6528 	EXP 	TextStim: autoDraw = None
26.6528 	EXP 	TextStim: autoDraw = None
26.6528 	EXP 	TextStim: autoDraw = None
26.6528 	EXP 	Set image_3 image=stimuli\Joy.jpg
26.6528 	EXP 	TextStim: autoDraw = None
26.6528 	EXP 	TextStim: autoDraw = None
26.6528 	EXP 	ImageStim: autoDraw = None
27.0033 	DATA 	Keypress: a
27.0198 	EXP 	TextStim: autoDraw = None
27.0198 	EXP 	TextStim: autoDraw = None
27.0198 	EXP 	ImageStim: autoDraw = None
27.0198 	EXP 	Set text_27 text=
27.0198 	EXP 	TextStim: autoDraw = None
27.0198 	EXP 	TextStim: autoDraw = None
27.0198 	EXP 	TextStim: autoDraw = None
28.0044 	EXP 	New trial (rep=0, index=9): {u'StimuliImages': u'Good.jpg', u'CorrAns1': u'a'}
28.0205 	EXP 	TextStim: autoDraw = None
28.0205 	EXP 	TextStim: autoDraw = None
28.0205 	EXP 	TextStim: autoDraw = None
28.0205 	EXP 	Set image_3 image=stimuli\Good.jpg
28.0205 	EXP 	TextStim: autoDraw = None
28.0205 	EXP 	TextStim: autoDraw = None
28.0205 	EXP 	ImageStim: autoDraw = None
28.4044 	DATA 	Keypress: a
28.4208 	EXP 	TextStim: autoDraw = None
28.4208 	EXP 	TextStim: autoDraw = None
28.4208 	EXP 	ImageStim: autoDraw = None
28.4208 	EXP 	Set text_27 text=
28.4208 	EXP 	TextStim: autoDraw = None
28.4208 	EXP 	TextStim: autoDraw = None
28.4208 	EXP 	TextStim: autoDraw = None
29.4054 	EXP 	Created sequence: sequential, trialTypes=1, nReps=2, seed=None
29.4063 	EXP 	New trial (rep=0, index=0): None
29.4382 	EXP 	TextStim: autoDraw = None
29.4382 	EXP 	TextStim: autoDraw = None
29.4382 	EXP 	TextStim: autoDraw = None
29.4382 	EXP 	Set text_7 text=A = 
White
29.4382 	EXP 	Set text_8 text=L = 
Black
29.4382 	EXP 	TextStim: autoDraw = None
29.4382 	EXP 	TextStim: autoDraw = None
29.4382 	EXP 	TextStim: autoDraw = None
31.1231 	DATA 	Keypress: space
31.1286 	EXP 	Imported cong_train.xlsx as conditions, 10 conditions, 2 params
31.1291 	EXP 	Created sequence: random, trialTypes=10, nReps=1, seed=None
31.1298 	EXP 	New trial (rep=0, index=0): {u'TrialImages': u'black_4.jpg', u'CorrAns': u'l'}
31.1561 	EXP 	TextStim: autoDraw = None
31.1561 	EXP 	TextStim: autoDraw = None
31.1561 	EXP 	TextStim: autoDraw = None
31.1561 	EXP 	Set text_9 text=A = 
White
31.1561 	EXP 	Set text_10 text=L = 
Black
31.1561 	EXP 	Set image image=stimuli\black_4.jpg
31.1561 	EXP 	TextStim: autoDraw = None
31.1561 	EXP 	TextStim: autoDraw = None
31.1561 	EXP 	ImageStim: autoDraw = None
31.7899 	DATA 	Keypress: l
31.8232 	EXP 	TextStim: autoDraw = None
31.8232 	EXP 	TextStim: autoDraw = None
31.8232 	EXP 	ImageStim: autoDraw = None
31.8232 	EXP 	Set text_28 text=
31.8232 	EXP 	Set text_31 text=A = 
White
31.8232 	EXP 	Set text_32 text=L = 
Black
31.8232 	EXP 	TextStim: autoDraw = None
31.8232 	EXP 	TextStim: autoDraw = None
31.8232 	EXP 	TextStim: autoDraw = None
32.7916 	EXP 	New trial (rep=0, index=1): {u'TrialImages': u'black_3.jpg', u'CorrAns': u'l'}
32.8407 	EXP 	TextStim: autoDraw = None
32.8407 	EXP 	TextStim: autoDraw = None
32.8407 	EXP 	TextStim: autoDraw = None
32.8407 	EXP 	Set text_9 text=A = 
White
32.8407 	EXP 	Set text_10 text=L = 
Black
32.8407 	EXP 	Set image image=stimuli\black_3.jpg
32.8407 	EXP 	TextStim: autoDraw = None
32.8407 	EXP 	TextStim: autoDraw = None
32.8407 	EXP 	ImageStim: autoDraw = None
33.2243 	DATA 	Keypress: l
33.2435 	EXP 	TextStim: autoDraw = None
33.2435 	EXP 	TextStim: autoDraw = None
33.2435 	EXP 	ImageStim: autoDraw = None
33.2435 	EXP 	Set text_28 text=
33.2435 	EXP 	Set text_31 text=A = 
White
33.2435 	EXP 	Set text_32 text=L = 
Black
33.2435 	EXP 	TextStim: autoDraw = None
33.2435 	EXP 	TextStim: autoDraw = None
33.2435 	EXP 	TextStim: autoDraw = None
34.2254 	EXP 	New trial (rep=0, index=2): {u'TrialImages': u'white_4.jpg', u'CorrAns': u'a'}
34.2582 	EXP 	TextStim: autoDraw = None
34.2582 	EXP 	TextStim: autoDraw = None
34.2582 	EXP 	TextStim: autoDraw = None
34.2582 	EXP 	Set text_9 text=A = 
White
34.2582 	EXP 	Set text_10 text=L = 
Black
34.2582 	EXP 	Set image image=stimuli\white_4.jpg
34.2582 	EXP 	TextStim: autoDraw = None
34.2582 	EXP 	TextStim: autoDraw = None
34.2582 	EXP 	ImageStim: autoDraw = None
34.7255 	DATA 	Keypress: a
34.7586 	EXP 	TextStim: autoDraw = None
34.7586 	EXP 	TextStim: autoDraw = None
34.7586 	EXP 	ImageStim: autoDraw = None
34.7586 	EXP 	Set text_28 text=
34.7586 	EXP 	Set text_31 text=A = 
White
34.7586 	EXP 	Set text_32 text=L = 
Black
34.7586 	EXP 	TextStim: autoDraw = None
34.7586 	EXP 	TextStim: autoDraw = None
34.7586 	EXP 	TextStim: autoDraw = None
